dia,producto_id,proveedor,cantidad,costo_total,dias_entrega
1,,Distribuidora XYZ,90,,2
1,,Suministros ABC,108,,3
1,,Distribuidora XYZ,120,,2
1,,Distribuidora XYZ,96,,2
1,,Ferretería Industrial,300,,4
2,,Distribuidora XYZ,90,,2
2,,Suministros ABC,108,,3
2,,Distribuidora XYZ,120,,2
2,,Distribuidora XYZ,96,,2
2,,Ferretería Industrial,300,,7
3,,Distribuidora XYZ,90,,2
3,,Suministros ABC,108,,3
3,,Distribuidora XYZ,120,,2
3,,Distribuidora XYZ,96,,2
3,,Ferretería Industrial,300,,4
4,,Suministros ABC,108,,3
4,,Ferretería Industrial,300,,4
5,,Ferretería Industrial,300,,4
7,,Distribuidora XYZ,90,,2
7,,Ferretería Industrial,300,,4
8,,Distribuidora XYZ,90,,2
9,,Distribuidora XYZ,90,,2
14,,Distribuidora XYZ,120,,2
14,,Distribuidora XYZ,96,,2
15,,Distribuidora XYZ,120,,2
15,,Distribuidora XYZ,96,,2
16,,Distribuidora XYZ,120,,2
16,,Distribuidora XYZ,96,,2
20,,Distribuidora XYZ,90,,2
20,,Distribuidora XYZ,120,,2
21,,Distribuidora XYZ,90,,2
21,,Distribuidora XYZ,120,,2
22,,Distribuidora XYZ,90,,2
22,,Distribuidora XYZ,120,,2
28,,Suministros ABC,108,,3
29,,Suministros ABC,108,,3
30,,Suministros ABC,108,,3
30,,Distribuidora XYZ,120,,2
31,,Suministros ABC,108,,3
31,,Distribuidora XYZ,120,,2
32,,Distribuidora XYZ,120,,2
35,,Distribuidora XYZ,90,,2
36,,Distribuidora XYZ,90,,2
37,,Distribuidora XYZ,90,,2
38,,Distribuidora XYZ,96,,2
39,,Distribuidora XYZ,96,,2
40,,Distribuidora XYZ,96,,2
42,,Distribuidora XYZ,96,,2
49,,Distribuidora XYZ,120,,2
50,,Distribuidora XYZ,120,,2
50,,Ferretería Industrial,300,,7
51,,Distribuidora XYZ,120,,2
51,,Ferretería Industrial,300,,5
52,,Ferretería Industrial,300,,4
53,,Ferretería Industrial,300,,4
54,,Ferretería Industrial,300,,4
55,,Distribuidora XYZ,90,,2
55,,Ferretería Industrial,300,,4
56,,Distribuidora XYZ,90,,2
56,,Distribuidora XYZ,96,,2
56,,Ferretería Industrial,300,,4
57,,Distribuidora XYZ,90,,5
57,,Distribuidora XYZ,96,,2
58,,Distribuidora XYZ,96,,2
60,,Suministros ABC,108,,3
60,,Distribuidora XYZ,120,,2
61,,Suministros ABC,108,,3
61,,Distribuidora XYZ,120,,2
62,,Suministros ABC,108,,3
62,,Distribuidora XYZ,120,,2
63,,Suministros ABC,108,,3
63,,Distribuidora XYZ,120,,2
72,,Distribuidora XYZ,90,,2
73,,Distribuidora XYZ,90,,2
74,,Distribuidora XYZ,90,,2
75,,Distribuidora XYZ,120,,2
76,,Distribuidora XYZ,120,,2
77,,Distribuidora XYZ,120,,2
78,,Distribuidora XYZ,96,,2
79,,Distribuidora XYZ,96,,2
80,,Distribuidora XYZ,96,,2
84,,Distribuidora XYZ,90,,2
84,,Distribuidora XYZ,120,,2
85,,Distribuidora XYZ,90,,2
85,,Distribuidora XYZ,120,,2
86,,Distribuidora XYZ,90,,2
86,,Distribuidora XYZ,120,,2
87,,Suministros ABC,108,,3
88,,Suministros ABC,108,,3
89,,Suministros ABC,108,,3
90,,Suministros ABC,108,,3
91,,Distribuidora XYZ,96,,2
92,,Distribuidora XYZ,96,,2
93,,Distribuidora XYZ,96,,2
99,,Distribuidora XYZ,90,,2
100,,Distribuidora XYZ,90,,2
101,,Distribuidora XYZ,90,,2
105,,Distribuidora XYZ,120,,2
106,,Distribuidora XYZ,120,,2
107,,Distribuidora XYZ,120,,2
110,,Distribuidora XYZ,90,,2
111,,Distribuidora XYZ,90,,2
112,,Distribuidora XYZ,90,,2
