dia,producto_id,cantidad,costo_total,proveedor
3,,90,,Distribuidora XYZ
3,,120,,Distribuidora XYZ
3,,96,,Distribuidora XYZ
4,,108,,Suministros ABC
4,,90,,Distribuidora XYZ
4,,120,,Distribuidora XYZ
4,,96,,Distribuidora XYZ
5,,300,,Ferretería Industrial
5,,108,,Suministros ABC
5,,90,,Distribuidora XYZ
5,,120,,Distribuidora XYZ
5,,96,,Distribuidora XYZ
6,,300,,Ferretería Industrial
6,,108,,Suministros ABC
7,,300,,Ferretería Industrial
7,,108,,Suministros ABC
8,,300,,Ferretería Industrial
9,,300,,Ferretería Industrial
16,,120,,Distribuidora XYZ
17,,90,,Distribuidora XYZ
17,,120,,Distribuidora XYZ
18,,90,,Distribuidora XYZ
18,,120,,Distribuidora XYZ
19,,90,,Distribuidora XYZ
23,,120,,Distribuidora XYZ
24,,120,,Distribuidora XYZ
25,,120,,Distribuidora XYZ
28,,96,,Distribuidora XYZ
29,,108,,Suministros ABC
29,,96,,Distribuidora XYZ
30,,108,,Suministros ABC
30,,96,,Distribuidora XYZ
