cantidad,cantidad_solicitada,cliente,costo,dia,dias_entrega,egreso,ingreso,inventario_disponible,penalizacion,politica_anterior,politica_nueva,producto,proveedor,razon,tipo
90,,,45.0,1,2,,,,,,,PROD001,Distribuidora XYZ,,PEDIDO
108,,,32.4,1,3,,,,,,,PROD002,Suministros ABC,,PEDIDO
120,,,12.0,1,2,,,,,,,PROD003,Distribuidora XYZ,,PEDIDO
96,,,67.58400000000002,1,2,,,,,,,PROD004,Distribuidora XYZ,,PEDIDO
300,,,15.0,1,4,,,,,,,PROD005,Ferretería Industrial,,PEDIDO
,8,Taller Mecánico López,,2,,,,0,70.0,,,PROD002,,,DESABASTECIMIENTO
,9,Taller Mecánico López,,2,,,,0,70.0,,,PROD004,,,DESABASTECIMIENTO
90,,,45.0,2,2,,,,,,,PROD001,Distribuidora XYZ,,PEDIDO
108,,,32.4,2,3,,,,,,,PROD002,Suministros ABC,,PEDIDO
120,,,12.0,2,2,,,,,,,PROD003,Distribuidora XYZ,,PEDIDO
96,,,67.58400000000002,2,2,,,,,,,PROD004,Distribuidora XYZ,,PEDIDO
300,,,15.0,2,7,,,,,,,PROD005,Ferretería Industrial,,PEDIDO
,8,Ferretería El Tornillo,,3,,,,0,80.0,,,PROD001,,,DESABASTECIMIENTO
,21,Ferretería El Tornillo,,3,,,,0,80.0,,,PROD002,,,DESABASTECIMIENTO
,21,Ferretería El Tornillo,,3,,,,0,80.0,,,PROD003,,,DESABASTECIMIENTO
90,,,45.0,3,2,,,,,,,PROD001,Distribuidora XYZ,,PEDIDO
108,,,32.4,3,3,,,,,,,PROD002,Suministros ABC,,PEDIDO
120,,,12.0,3,2,,,,,,,PROD003,Distribuidora XYZ,,PEDIDO
96,,,67.58400000000002,3,2,,,,,,,PROD004,Distribuidora XYZ,,PEDIDO
300,,,15.0,3,4,,,,,,,PROD005,Ferretería Industrial,,PEDIDO
90,,,,3,,45.0,,,,,,PROD001,Distribuidora XYZ,,RECEPCION
120,,,,3,,12.0,,,,,,PROD003,Distribuidora XYZ,,RECEPCION
96,,,,3,,67.58400000000002,,,,,,PROD004,Distribuidora XYZ,,RECEPCION
,9,Taller Mecánico López,,4,,,,0,70.0,,,PROD002,,,DESABASTECIMIENTO
10,,Taller Mecánico López,7.040000000000002,4,,,20.0,,,,,PROD004,,,VENTA
108,,,32.4,4,3,,,,,,,PROD002,Suministros ABC,,PEDIDO
300,,,15.0,4,4,,,,,,,PROD005,Ferretería Industrial,,PEDIDO
108,,,,4,,32.4,,,,,,PROD002,Suministros ABC,,RECEPCION
90,,,,4,,45.0,,,,,,PROD001,Distribuidora XYZ,,RECEPCION
120,,,,4,,12.0,,,,,,PROD003,Distribuidora XYZ,,RECEPCION
96,,,,4,,67.58400000000002,,,,,,PROD004,Distribuidora XYZ,,RECEPCION
37,,Almacén Central (Interno),18.5,5,,,44.4,,,,,PROD001,,,VENTA
33,,Almacén Central (Interno),9.9,5,,,29.7,,,,,PROD002,,,VENTA
,26,Almacén Central (Interno),,5,,,,0,100.0,,,PROD005,,,DESABASTECIMIENTO
300,,,15.0,5,4,,,,,,,PROD005,Ferretería Industrial,,PEDIDO
300,,,,5,,15.0,,,,,,PROD005,Ferretería Industrial,,RECEPCION
108,,,,5,,32.4,,,,,,PROD002,Suministros ABC,,RECEPCION
90,,,,5,,45.0,,,,,,PROD001,Distribuidora XYZ,,RECEPCION
120,,,,5,,12.0,,,,,,PROD003,Distribuidora XYZ,,RECEPCION
96,,,,5,,67.58400000000002,,,,,,PROD004,Distribuidora XYZ,,RECEPCION
20,,Ferretería El Tornillo,10.0,6,,,24.0,,,,,PROD001,,,VENTA
18,,Ferretería El Tornillo,5.3999999999999995,6,,,16.2,,,,,PROD002,,,VENTA
12,,Ferretería El Tornillo,1.2000000000000002,6,,,4.800000000000001,,,,,PROD003,,,VENTA
7,,Taller Mecánico López,2.1,6,,,6.3,,,,,PROD002,,,VENTA
10,,Taller Mecánico López,7.040000000000002,6,,,20.0,,,,,PROD004,,,VENTA
108,,,,6,,32.4,,,,,,PROD002,Suministros ABC,,RECEPCION
185,,Construcciones Pérez,92.5,7,,,222.0,,,,,PROD001,,,VENTA
45,,Construcciones Pérez,4.5,7,,,18.0,,,,,PROD003,,,VENTA
78,,Construcciones Pérez,54.91200000000001,7,,,156.0,,,,,PROD004,,,VENTA
144,,Construcciones Pérez,7.2,7,,,21.599999999999998,,,,,PROD005,,,VENTA
90,,,45.0,7,2,,,,,,,PROD001,Distribuidora XYZ,,PEDIDO
300,,,15.0,7,4,,,,,,,PROD005,Ferretería Industrial,,PEDIDO
300,,,,7,,15.0,,,,,,PROD005,Ferretería Industrial,,RECEPCION
108,,,,7,,32.4,,,,,,PROD002,Suministros ABC,,RECEPCION
13,,Taller Mecánico López,3.9,8,,,11.700000000000001,,,,,PROD002,,,VENTA
9,,Taller Mecánico López,6.336000000000002,8,,,18.0,,,,,PROD004,,,VENTA
90,,,45.0,8,2,,,,,,,PROD001,Distribuidora XYZ,,PEDIDO
300,,,,8,,15.0,,,,,,PROD005,Ferretería Industrial,,RECEPCION
14,,Ferretería El Tornillo,7.0,9,,,16.8,,,,,PROD001,,,VENTA
16,,Ferretería El Tornillo,4.8,9,,,14.4,,,,,PROD002,,,VENTA
10,,Ferretería El Tornillo,1.0,9,,,4.0,,,,,PROD003,,,VENTA
90,,,45.0,9,2,,,,,,,PROD001,Distribuidora XYZ,,PEDIDO
300,,,,9,,15.0,,,,,,PROD005,Ferretería Industrial,,RECEPCION
300,,,,9,,15.0,,,,,,PROD005,Ferretería Industrial,,RECEPCION
90,,,,9,,45.0,,,,,,PROD001,Distribuidora XYZ,,RECEPCION
11,,Taller Mecánico López,3.3,10,,,9.9,,,,,PROD002,,,VENTA
8,,Taller Mecánico López,5.6320000000000014,10,,,16.0,,,,,PROD004,,,VENTA
34,,Almacén Central (Interno),17.0,10,,,40.8,,,,,PROD001,,,VENTA
26,,Almacén Central (Interno),7.8,10,,,23.400000000000002,,,,,PROD002,,,VENTA
34,,Almacén Central (Interno),1.7000000000000002,10,,,5.1,,,,,PROD005,,,VENTA
174,,Ferreterías del Norte,17.400000000000002,10,,,69.60000000000001,,,,,PROD003,,,VENTA
126,,Ferreterías del Norte,6.300000000000001,10,,,18.9,,,,,PROD005,,,VENTA
90,,,,10,,45.0,,,,,,PROD001,Distribuidora XYZ,,RECEPCION
300,,,,11,,15.0,,,,,,PROD005,Ferretería Industrial,,RECEPCION
90,,,,11,,45.0,,,,,,PROD001,Distribuidora XYZ,,RECEPCION
14,,Ferretería El Tornillo,7.0,12,,,16.8,,,,,PROD001,,,VENTA
26,,Ferretería El Tornillo,7.8,12,,,23.400000000000002,,,,,PROD002,,,VENTA
4,,Ferretería El Tornillo,0.4,12,,,1.6,,,,,PROD003,,,VENTA
