cantidad,cantidad_solicitada,cliente,costo,dia,dias_entrega,egreso,ingreso,inventario_disponible,penalizacion,producto,proveedor,tipo
90,,,45.0,1,2,,,,,PROD001,Distribuidora XYZ,PEDIDO
108,,,32.4,1,3,,,,,PROD002,Suministros ABC,PEDIDO
120,,,12.0,1,2,,,,,PROD003,Distribuidora XYZ,PEDIDO
96,,,67.58400000000002,1,2,,,,,PROD004,Distribuidora XYZ,PEDIDO
300,,,15.0,1,4,,,,,PROD005,Ferretería Industrial,PEDIDO
,4,Taller Mecánico López,,2,,,,0,70.0,PROD002,,DESABASTECIMIENTO
,14,Taller Mecánico López,,2,,,,0,70.0,PROD004,,DESABASTECIMIENTO
90,,,45.0,2,2,,,,,PROD001,Distribuidora XYZ,PEDIDO
108,,,32.4,2,3,,,,,PROD002,Suministros ABC,PEDIDO
120,,,12.0,2,2,,,,,PROD003,Distribuidora XYZ,PEDIDO
96,,,67.58400000000002,2,2,,,,,PROD004,Distribuidora XYZ,PEDIDO
300,,,15.0,2,4,,,,,PROD005,Ferretería Industrial,PEDIDO
,6,Ferretería El Tornillo,,3,,,,0,80.0,PROD001,,DESABASTECIMIENTO
,19,Ferretería El Tornillo,,3,,,,0,80.0,PROD002,,DESABASTECIMIENTO
,22,Ferretería El Tornillo,,3,,,,0,80.0,PROD003,,DESABASTECIMIENTO
90,,,45.0,3,2,,,,,PROD001,Distribuidora XYZ,PEDIDO
108,,,32.4,3,3,,,,,PROD002,Suministros ABC,PEDIDO
120,,,12.0,3,2,,,,,PROD003,Distribuidora XYZ,PEDIDO
96,,,67.58400000000002,3,2,,,,,PROD004,Distribuidora XYZ,PEDIDO
300,,,15.0,3,4,,,,,PROD005,Ferretería Industrial,PEDIDO
90,,,,3,,45.0,,,,PROD001,Distribuidora XYZ,RECEPCION
120,,,,3,,12.0,,,,PROD003,Distribuidora XYZ,RECEPCION
96,,,,3,,67.58400000000002,,,,PROD004,Distribuidora XYZ,RECEPCION
,13,Taller Mecánico López,,4,,,,0,70.0,PROD002,,DESABASTECIMIENTO
13,,Taller Mecánico López,9.152000000000003,4,,,26.0,,,PROD004,,VENTA
108,,,32.4,4,3,,,,,PROD002,Suministros ABC,PEDIDO
300,,,15.0,4,4,,,,,PROD005,Ferretería Industrial,PEDIDO
108,,,,4,,32.4,,,,PROD002,Suministros ABC,RECEPCION
90,,,,4,,45.0,,,,PROD001,Distribuidora XYZ,RECEPCION
120,,,,4,,12.0,,,,PROD003,Distribuidora XYZ,RECEPCION
96,,,,4,,67.58400000000002,,,,PROD004,Distribuidora XYZ,RECEPCION
30,,Almacén Central (Interno),15.0,5,,,36.0,,,PROD001,,VENTA
30,,Almacén Central (Interno),9.0,5,,,27.0,,,PROD002,,VENTA
,34,Almacén Central (Interno),,5,,,,0,100.0,PROD005,,DESABASTECIMIENTO
300,,,15.0,5,4,,,,,PROD005,Ferretería Industrial,PEDIDO
300,,,,5,,15.0,,,,PROD005,Ferretería Industrial,RECEPCION
108,,,,5,,32.4,,,,PROD002,Suministros ABC,RECEPCION
90,,,,5,,45.0,,,,PROD001,Distribuidora XYZ,RECEPCION
120,,,,5,,12.0,,,,PROD003,Distribuidora XYZ,RECEPCION
96,,,,5,,67.58400000000002,,,,PROD004,Distribuidora XYZ,RECEPCION
13,,Ferretería El Tornillo,6.5,6,,,15.6,,,PROD001,,VENTA
19,,Ferretería El Tornillo,5.7,6,,,17.1,,,PROD002,,VENTA
21,,Ferretería El Tornillo,2.1,6,,,8.4,,,PROD003,,VENTA
13,,Taller Mecánico López,3.9,6,,,11.700000000000001,,,PROD002,,VENTA
9,,Taller Mecánico López,6.336000000000002,6,,,18.0,,,PROD004,,VENTA
300,,,,6,,15.0,,,,PROD005,Ferretería Industrial,RECEPCION
108,,,,6,,32.4,,,,PROD002,Suministros ABC,RECEPCION
22,,Construcciones Pérez,11.0,7,,,26.4,,,PROD001,,VENTA
40,,Construcciones Pérez,4.0,7,,,16.0,,,PROD003,,VENTA
76,,Construcciones Pérez,53.50400000000001,7,,,152.0,,,PROD004,,VENTA
153,,Construcciones Pérez,7.65,7,,,22.95,,,PROD005,,VENTA
300,,,,7,,15.0,,,,PROD005,Ferretería Industrial,RECEPCION
108,,,,7,,32.4,,,,PROD002,Suministros ABC,RECEPCION
13,,Taller Mecánico López,3.9,8,,,11.700000000000001,,,PROD002,,VENTA
7,,Taller Mecánico López,4.928000000000001,8,,,14.0,,,PROD004,,VENTA
300,,,,8,,15.0,,,,PROD005,Ferretería Industrial,RECEPCION
6,,Ferretería El Tornillo,3.0,9,,,7.199999999999999,,,PROD001,,VENTA
8,,Ferretería El Tornillo,2.4,9,,,7.2,,,PROD002,,VENTA
13,,Ferretería El Tornillo,1.3,9,,,5.2,,,PROD003,,VENTA
300,,,,9,,15.0,,,,PROD005,Ferretería Industrial,RECEPCION
12,,Taller Mecánico López,3.5999999999999996,10,,,10.8,,,PROD002,,VENTA
13,,Taller Mecánico López,9.152000000000003,10,,,26.0,,,PROD004,,VENTA
25,,Almacén Central (Interno),12.5,10,,,30.0,,,PROD001,,VENTA
30,,Almacén Central (Interno),9.0,10,,,27.0,,,PROD002,,VENTA
25,,Almacén Central (Interno),1.25,10,,,3.75,,,PROD005,,VENTA
134,,Ferreterías del Norte,13.400000000000002,10,,,53.6,,,PROD003,,VENTA
285,,Ferreterías del Norte,14.25,10,,,42.75,,,PROD005,,VENTA
8,,Ferretería El Tornillo,4.0,12,,,9.6,,,PROD001,,VENTA
18,,Ferretería El Tornillo,5.3999999999999995,12,,,16.2,,,PROD002,,VENTA
8,,Ferretería El Tornillo,0.8,12,,,3.2,,,PROD003,,VENTA
8,,Taller Mecánico López,2.4,12,,,7.2,,,PROD002,,VENTA
10,,Taller Mecánico López,7.040000000000002,12,,,20.0,,,PROD004,,VENTA
66,,Construcciones Pérez,33.0,14,,,79.2,,,PROD001,,VENTA
104,,Construcciones Pérez,10.4,14,,,41.6,,,PROD003,,VENTA
52,,Construcciones Pérez,36.60800000000001,14,,,104.0,,,PROD004,,VENTA
150,,Construcciones Pérez,7.500000000000001,14,,,22.5,,,PROD005,,VENTA
8,,Taller Mecánico López,2.4,14,,,7.2,,,PROD002,,VENTA
10,,Taller Mecánico López,7.040000000000002,14,,,20.0,,,PROD004,,VENTA
120,,,12.0,14,2,,,,,PROD003,Distribuidora XYZ,PEDIDO
20,,Ferretería El Tornillo,10.0,15,,,24.0,,,PROD001,,VENTA
18,,Ferretería El Tornillo,5.3999999999999995,15,,,16.2,,,PROD002,,VENTA
16,,Ferretería El Tornillo,1.6,15,,,6.4,,,PROD003,,VENTA
35,,Almacén Central (Interno),17.5,15,,,42.0,,,PROD001,,VENTA
28,,Almacén Central (Interno),8.4,15,,,25.2,,,PROD002,,VENTA
