dia,cliente,producto_id,cantidad,ingreso,costo
4,Taller Mecánico López,,10,20.0,7.040000000000002
5,Almacén Central (Interno),,37,44.4,18.5
5,Almacén Central (Interno),,33,29.7,9.9
6,Ferretería El Tornillo,,20,24.0,10.0
6,Ferretería El Tornillo,,18,16.2,5.3999999999999995
6,Ferretería El Tornillo,,12,4.800000000000001,1.2000000000000002
6,Taller Mecánico López,,7,6.3,2.1
6,Taller Mecánico López,,10,20.0,7.040000000000002
7,Construcciones Pérez,,185,222.0,92.5
7,Construcciones Pérez,,45,18.0,4.5
7,Construcciones Pérez,,78,156.0,54.91200000000001
7,Construcciones Pérez,,144,21.599999999999998,7.2
8,Taller Mecánico López,,13,11.700000000000001,3.9
8,Taller Mecánico López,,9,18.0,6.336000000000002
9,Ferretería El Tornillo,,14,16.8,7.0
9,Ferretería El Tornillo,,16,14.4,4.8
9,Ferretería El Tornillo,,10,4.0,1.0
10,Taller Mecánico López,,11,9.9,3.3
10,Taller Mecánico López,,8,16.0,5.6320000000000014
10,Almacén Central (Interno),,34,40.8,17.0
10,Almacén Central (Interno),,26,23.400000000000002,7.8
10,Almacén Central (Interno),,34,5.1,1.7000000000000002
10,Ferreterías del Norte,,174,69.60000000000001,17.400000000000002
10,Ferreterías del Norte,,126,18.9,6.300000000000001
12,Ferretería El Tornillo,,14,16.8,7.0
12,Ferretería El Tornillo,,26,23.400000000000002,7.8
12,Ferretería El Tornillo,,4,1.6,0.4
12,Taller Mecánico López,,12,10.8,3.5999999999999996
12,Taller Mecánico López,,13,26.0,9.152000000000003
14,Construcciones Pérez,,87,104.39999999999999,43.5
14,Construcciones Pérez,,88,35.2,8.8
14,Construcciones Pérez,,157,314.0,110.52800000000003
14,Construcciones Pérez,,98,14.7,4.9
14,Taller Mecánico López,,10,9.0,3.0
15,Ferretería El Tornillo,,26,31.2,13.0
15,Ferretería El Tornillo,,14,12.6,4.2
15,Ferretería El Tornillo,,12,4.800000000000001,1.2000000000000002
15,Almacén Central (Interno),,37,44.4,18.5
15,Almacén Central (Interno),,26,23.400000000000002,7.8
15,Almacén Central (Interno),,29,4.35,1.4500000000000002
16,Taller Mecánico López,,10,9.0,3.0
18,Ferretería El Tornillo,,16,19.2,8.0
18,Ferretería El Tornillo,,14,12.6,4.2
18,Ferretería El Tornillo,,23,9.200000000000001,2.3
18,Taller Mecánico López,,9,8.1,2.6999999999999997
18,Taller Mecánico López,,7,14.0,4.928000000000001
20,Taller Mecánico López,,9,8.1,2.6999999999999997
20,Taller Mecánico López,,9,18.0,6.336000000000002
20,Almacén Central (Interno),,25,30.0,12.5
20,Almacén Central (Interno),,35,31.5,10.5
20,Almacén Central (Interno),,41,6.1499999999999995,2.0500000000000003
20,Ferreterías del Norte,,263,105.2,26.300000000000004
20,Ferreterías del Norte,,181,27.15,9.05
21,Ferretería El Tornillo,,8,9.6,4.0
21,Ferretería El Tornillo,,5,4.5,1.5
21,Ferretería El Tornillo,,22,8.8,2.2
21,Construcciones Pérez,,73,146.0,51.39200000000001
21,Construcciones Pérez,,44,6.6,2.2
22,Taller Mecánico López,,10,9.0,3.0
22,Taller Mecánico López,,7,14.0,4.928000000000001
24,Ferretería El Tornillo,,15,18.0,7.5
24,Ferretería El Tornillo,,15,13.5,4.5
24,Ferretería El Tornillo,,24,9.600000000000001,2.4000000000000004
24,Taller Mecánico López,,8,7.2,2.4
24,Taller Mecánico López,,8,16.0,5.6320000000000014
25,Almacén Central (Interno),,29,34.8,14.5
25,Almacén Central (Interno),,20,18.0,6.0
25,Almacén Central (Interno),,34,5.1,1.7000000000000002
26,Taller Mecánico López,,10,9.0,3.0
26,Taller Mecánico López,,9,18.0,6.336000000000002
27,Ferretería El Tornillo,,20,24.0,10.0
27,Ferretería El Tornillo,,10,9.0,3.0
27,Ferretería El Tornillo,,15,6.0,1.5
28,Construcciones Pérez,,114,136.79999999999998,57.0
28,Construcciones Pérez,,98,39.2,9.8
28,Construcciones Pérez,,88,176.0,61.95200000000002
28,Construcciones Pérez,,106,15.899999999999999,5.300000000000001
28,Taller Mecánico López,,13,11.700000000000001,3.9
28,Taller Mecánico López,,9,18.0,6.336000000000002
30,Ferretería El Tornillo,,14,16.8,7.0
30,Ferretería El Tornillo,,12,10.8,3.5999999999999996
30,Ferretería El Tornillo,,16,6.4,1.6
30,Taller Mecánico López,,8,7.2,2.4
30,Taller Mecánico López,,8,16.0,5.6320000000000014
30,Almacén Central (Interno),,30,36.0,15.0
30,Almacén Central (Interno),,32,4.8,1.6
30,Ferreterías del Norte,,213,85.2,21.3
30,Ferreterías del Norte,,162,24.3,8.100000000000001
32,Taller Mecánico López,,7,6.3,2.1
32,Taller Mecánico López,,11,22.0,7.7440000000000015
33,Ferretería El Tornillo,,19,22.8,9.5
33,Ferretería El Tornillo,,8,7.2,2.4
33,Ferretería El Tornillo,,13,5.2,1.3
34,Taller Mecánico López,,9,8.1,2.6999999999999997
34,Taller Mecánico López,,10,20.0,7.040000000000002
35,Construcciones Pérez,,106,42.400000000000006,10.600000000000001
35,Construcciones Pérez,,120,18.0,6.0
35,Almacén Central (Interno),,28,33.6,14.0
35,Almacén Central (Interno),,32,28.8,9.6
35,Almacén Central (Interno),,29,4.35,1.4500000000000002
36,Ferretería El Tornillo,,10,12.0,5.0
36,Ferretería El Tornillo,,10,9.0,3.0
36,Ferretería El Tornillo,,11,4.4,1.1
36,Taller Mecánico López,,14,12.6,4.2
36,Taller Mecánico López,,9,18.0,6.336000000000002
38,Taller Mecánico López,,9,8.1,2.6999999999999997
38,Taller Mecánico López,,14,28.0,9.856000000000002
39,Ferretería El Tornillo,,10,12.0,5.0
39,Ferretería El Tornillo,,13,11.700000000000001,3.9
39,Ferretería El Tornillo,,24,9.600000000000001,2.4000000000000004
40,Taller Mecánico López,,11,9.9,3.3
40,Taller Mecánico López,,9,18.0,6.336000000000002
40,Almacén Central (Interno),,25,30.0,12.5
40,Almacén Central (Interno),,23,20.7,6.8999999999999995
40,Almacén Central (Interno),,32,4.8,1.6
40,Ferreterías del Norte,,137,20.55,6.8500000000000005
42,Ferretería El Tornillo,,16,19.2,8.0
42,Ferretería El Tornillo,,12,10.8,3.5999999999999996
42,Ferretería El Tornillo,,23,9.200000000000001,2.3000000000000003
42,Construcciones Pérez,,82,98.39999999999999,41.0
42,Construcciones Pérez,,116,46.400000000000006,11.600000000000001
42,Construcciones Pérez,,178,356.0,125.31200000000003
42,Construcciones Pérez,,83,12.45,4.15
42,Taller Mecánico López,,9,8.1,2.6999999999999997
42,Taller Mecánico López,,8,16.0,5.6320000000000014
44,Taller Mecánico López,,13,11.700000000000001,3.9
44,Taller Mecánico López,,8,16.0,5.6320000000000014
45,Ferretería El Tornillo,,11,13.2,5.5
45,Ferretería El Tornillo,,18,16.2,5.3999999999999995
45,Ferretería El Tornillo,,15,6.0,1.5
45,Almacén Central (Interno),,28,33.6,14.0
45,Almacén Central (Interno),,26,23.400000000000002,7.8
45,Almacén Central (Interno),,33,4.95,1.6500000000000001
46,Taller Mecánico López,,7,6.3,2.1
46,Taller Mecánico López,,8,16.0,5.6320000000000014
48,Ferretería El Tornillo,,19,22.8,9.5
48,Ferretería El Tornillo,,10,9.0,3.0
48,Ferretería El Tornillo,,7,2.8000000000000003,0.7000000000000001
48,Taller Mecánico López,,12,10.8,3.5999999999999996
48,Taller Mecánico López,,7,14.0,4.928000000000001
49,Construcciones Pérez,,82,32.800000000000004,8.200000000000001
49,Construcciones Pérez,,122,244.0,85.88800000000002
49,Construcciones Pérez,,84,12.6,4.2
50,Taller Mecánico López,,9,8.1,2.7
50,Taller Mecánico López,,10,20.0,7.040000000000002
50,Almacén Central (Interno),,32,38.4,16.0
50,Almacén Central (Interno),,28,25.2,8.4
50,Almacén Central (Interno),,38,5.7,1.9000000000000001
50,Ferreterías del Norte,,175,26.25,8.75
51,Ferretería El Tornillo,,13,15.6,6.5
51,Ferretería El Tornillo,,15,13.5,4.5
51,Ferretería El Tornillo,,14,5.6000000000000005,1.4000000000000001
52,Taller Mecánico López,,10,9.0,3.0
52,Taller Mecánico López,,9,18.0,6.336000000000002
54,Ferretería El Tornillo,,5,6.0,2.5
54,Ferretería El Tornillo,,19,17.1,5.7
